model_name,brand,processor_name,ram_gb,ssd_gb,hard_disk_gb,operating_system,graphics,cores,threads,spec_score,width,height,performance_score,price_category,model_link
Lenovo V15 ITL G2 82KBA033IH Laptop,14,10,8,512,0,4,123,2,4,62,1920,1080,159.8,Mid-Range,https://www.flipkart.com/lenovo-v15-g2-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-itl-laptop/p/itm5c9534f381d46?pid=COMGHTE8G8FXQJVN&affid=adminsmart1&affExtParam1=UTiGPF2001EAuSH
HP Pavilion 15-ec2004AX Gaming Laptop,9,41,8,512,0,4,38,6,12,66,1920,1080,169.1,Mid-Range,https://www.amazon.in/Processor-Geforce-Backlit-Keyboard-16-E0301Ax-dp-B09RX35BKN/dp/B09RX35BKN/ref=dp_ob_title_ce
Lenovo V15 82KBA03HIH Laptop,14,10,8,256,1000,4,123,2,4,66,1920,1080,83.0,Mid-Range,https://www.flipkart.com/lenovo-v15-g2-intel-core-i3-11th-gen-1115g4-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-itl-thin-light-laptop/p/itm0b49c1b136b6d?pid=COMGHTE8UQZ6BADN&affid=adminsmart1&affExtParam1=UTiIDY8001f3TTP
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop,3,105,8,512,0,4,102,6,12,66,1200,1920,188.3,Mid-Range,https://www.flipkart.com/asus-amd-ryzen-5-hexa-core-10th-gen-8-gb-512-gb-ssd-windows-11-home-m1603qa-laptop/p/itmb2350283b3415?pid=COMGN65QUZGHDKYT&affid=adminsmart1&affExtParam1=UTiIKVR0019Bd6q
HP 15s-fr4000TU Laptop,9,11,8,512,0,4,121,4,8,63,1920,1080,160.1,Mid-Range,https://www.flipkart.com/hp-intel-core-i5-11th-gen-1155g7-8-gb-512-gb-ssd-windows-11-home-15s-fr4000tu-thin-light-laptop/p/itm4f450720f23b3?pid=COMGHN4MYVNWWQHG&affid=adminsmart1&affExtParam1=UTiIOtF001VKzTn
Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,14,11,8,256,1000,4,38,4,8,73,1920,1080,83.3,Mid-Range,https://www.amazon.in/dp/B0B7RWTS2V/?tag=smartprix-21&ascsubtag=UTiISrj001WFouS
Infinix Zero Book Ultra Laptop,12,20,16,512,0,4,148,14,20,65,1920,1080,166.0,High-End,https://www.flipkart.com/infinix-zero-book-ultra-series-laptop-intel-core-i9-12th-gen-12900h-16-gb-512-gb-ssd-windows-11-home-zl12-business/p/itm5e3c5bd148faa?pid=COMGMFK7B6FTNA4X&affid=adminsmart1&affExtParam1=UTiIZtS001IY8pN
HP 15s-eq1559AU Laptop,9,30,8,512,0,4,96,2,2,57,1366,768,165.8,Budget,https://www.flipkart.com/hp-amd-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-eq1559au-thin-light-laptop/p/itm251d7da4048ee?pid=COMGG63HRV3GFN4G&affid=adminsmart1&affExtParam1=UTiIdqs0014pd7G
Dell Inspiron 3520 Laptop,6,15,8,512,0,4,140,6,8,61,1920,1080,161.3,Mid-Range,https://www.amazon.in/dp/B0CWLKKR58/?tag=smartprix-21&ascsubtag=UTiIjZm001we3qW
Dell Inspiron 3520 Laptop,6,15,8,512,0,4,140,6,8,61,1920,1080,161.3,Mid-Range,https://www.amazon.in/dp/B0CWLKKR58/?tag=smartprix-21&ascsubtag=UTiIjZm001we3qW
