model_name,brand,processor_name,ram_gb,ssd_gb,hard_disk_gb,operating_system,graphics,cores,threads,spec_score,width,height,performance_score,price_category,price
Lenovo V15 ITL G2 82KBA033IH Laptop,14,10,8,512,0,4,123,2,4,62,1920,1080,130.4,Mid-Range,33921
HP Pavilion 15-ec2004AX Gaming Laptop,9,41,8,512,0,4,38,6,12,66,1920,1080,132.0,Mid-Range,56150
Lenovo V15 82KBA03HIH Laptop,14,10,8,256,1000,4,123,2,4,66,1920,1080,80.80000000000001,Mid-Range,35499
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop,3,105,8,512,0,4,102,6,12,66,1200,1920,132.0,Mid-Range,48990
HP 15s-fr4000TU Laptop,9,11,8,512,0,4,121,4,8,63,1920,1080,130.8,Mid-Range,52990
Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,14,11,8,256,1000,4,38,4,8,73,1920,1080,83.60000000000001,Mid-Range,56700
Infinix Zero Book Ultra Laptop,12,20,16,512,0,4,148,14,20,65,1920,1080,134.8,High-End,87620
HP 15s-eq1559AU Laptop,9,30,8,512,0,4,96,2,2,57,1366,768,128.4,Budget,29212
Dell Inspiron 3520 Laptop,6,15,8,512,0,4,140,6,8,61,1920,1080,130.0,Mid-Range,44087
Dell Inspiron 3520 Laptop,6,15,8,512,0,4,140,6,8,61,1920,1080,130.0,Mid-Range,57990
Dell Inspiron 3520 Laptop,6,15,8,512,0,4,140,6,8,61,1920,1080,130.0,Mid-Range,62029
Dell Inspiron 3520 Laptop,6,15,8,512,0,4,140,6,8,61,1920,1080,130.0,Mid-Range,66111
Dell Inspiron 3511 Laptop,6,10,8,512,0,4,140,2,4,59,1920,1080,129.20000000000002,Mid-Range,38800
Dell Inspiron 3511 Laptop,6,10,8,512,0,4,140,2,4,59,1920,1080,129.20000000000002,Mid-Range,59306
Dell Inspiron 3511 Laptop,6,10,8,512,0,4,140,2,4,59,1920,1080,129.20000000000002,Mid-Range,62812
Dell Inspiron 3511 Laptop,6,10,8,512,0,4,140,2,4,59,1920,1080,129.20000000000002,Mid-Range,41490
Dell Inspiron 3511 Laptop,6,10,8,512,0,4,140,2,4,59,1920,1080,129.20000000000002,Mid-Range,46499
Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop,3,109,16,512,0,4,38,8,16,68,1920,1080,136.0,High-End,65990
Apple MacBook Air 2020 MGND3HN Laptop,2,66,8,256,0,2,108,8,0,47,2560,1600,73.2,High-End,83900
